STA_NO	INFO_DATE	H	TBD	TBDCAL	SS	TDS	ORP	EC	PH	CS	CHA	DOD	DOQ	DC	MachThe	INC	TBSTS   HL
NW07	2021-08-22 19:50:00	830.58	15	null	0.025	null	null	221	null	19.75	null	null	null	null	null	null	CON	0
NW07	2021-08-22 19:55:00	830.58	15	null	0.025	null	null	221	null	19.7375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:00:00	830.58	15	null	0.025	null	null	221	null	19.7125	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:05:00	830.58	15	null	0.025	null	null	221	null	19.7	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:10:00	830.58	15	null	0.025	null	null	221	null	19.6875	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:15:00	830.58	15	null	0.025	null	null	221	null	19.675	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:20:00	830.58	15	null	0.025	null	null	221	null	19.6625	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:25:00	830.58	15	null	0.025	null	null	221	null	19.6375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:30:00	830.58	15	null	0.025	null	null	221	null	19.625	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:35:00	830.58	15	null	0.025	null	null	221	null	19.6125	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:40:00	830.58	15	null	0.025	null	null	221	null	19.6	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:45:00	830.58	15	null	0.025	null	null	221	null	19.5875	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:50:00	830.58	15	null	0.025	null	null	221	null	19.5625	null	null	null	null	null	null	CON	0
NW07	2021-08-22 20:55:00	830.57	15	null	0.025	null	null	221	null	19.55	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:00:00	830.58	15	null	0.025	null	null	221	null	19.5375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:05:00	830.58	15	null	0.025	null	null	221	null	19.525	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:10:00	830.58	15	null	0.025	null	null	221	null	19.5125	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:15:00	830.58	15	null	0.025	null	null	221	null	19.5	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:20:00	830.58	15	null	0.025	null	null	221	null	19.475	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:25:00	830.58	15	null	0.025	null	null	221	null	19.4625	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:30:00	830.58	15	null	0.025	null	null	221	null	19.45	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:35:00	830.58	15	null	0.025	null	null	221	null	19.4375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:40:00	830.58	15	null	0.025	null	null	221	null	19.425	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:45:00	830.58	15	null	0.025	null	null	221	null	19.4	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:50:00	830.58	15	null	0.025	null	null	221	null	19.3875	null	null	null	null	null	null	CON	0
NW07	2021-08-22 21:55:00	830.58	15	null	0.025	null	null	221	null	19.375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:00:00	830.58	15	null	0.025	null	null	221	null	19.3625	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:05:00	830.58	15	null	0.025	null	null	221	null	19.35	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:10:00	830.58	15	null	0.025	null	null	221	null	19.3375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:15:00	830.58	15	null	0.025	null	null	221	null	19.325	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:20:00	830.58	15	null	0.025	null	null	221	null	19.3	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:25:00	830.58	15	null	0.025	null	null	221	null	19.3	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:30:00	830.58	15	null	0.025	null	null	222	null	19.2875	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:35:00	830.58	15	null	0.025	null	null	221	null	19.275	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:40:00	830.58	15	null	0.025	null	null	221	null	19.25	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:45:00	830.58	15	null	0.025	null	null	221	null	19.25	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:50:00	830.58	15	null	0.025	null	null	221	null	19.2375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 22:55:00	830.58	15	null	0.025	null	null	221	null	19.225	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:00:00	830.58	15	null	0.025	null	null	221	null	19.2125	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:05:00	830.58	15	null	0.025	null	null	221	null	19.2	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:10:00	830.58	15	null	0.025	null	null	221	null	19.1875	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:15:00	830.58	15	null	0.025	null	null	221	null	19.175	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:20:00	830.58	15	null	0.025	null	null	222	null	19.1625	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:25:00	830.58	15	null	0.025	null	null	222	null	19.15	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:30:00	830.58	15	null	0.025	null	null	222	null	19.1375	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:35:00	830.58	15	null	0.025	null	null	222	null	19.125	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:40:00	830.58	15	null	0.025	null	null	222	null	19.1125	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:45:00	830.58	15	null	0.025	null	null	222	null	19.1	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:50:00	830.58	15	null	0.025	null	null	222	null	19.0875	null	null	null	null	null	null	CON	0
NW07	2021-08-22 23:55:00	830.58	15	null	0.025	null	null	222	null	19.0875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:00:00	830.58	15	null	0.025	null	null	222	null	19.0625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:05:00	830.58	15	null	0.025	null	null	222	null	19.05	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:10:00	830.58	15	null	0.025	null	null	222	null	19.0375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:15:00	830.58	15	null	0.025	null	null	222	null	19.025	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:20:00	830.58	15	null	0.025	null	null	222	null	19.0125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:25:00	830.58	16	null	0.025	null	null	222	null	19	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:30:00	830.58	31	null	0.025	null	null	222	null	18.9875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:35:00	830.58	25.67	null	0.025	null	null	222	null	18.975	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:40:00	830.58	15	null	0.025	null	null	222	null	18.9625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:45:00	830.58	15	null	0.025	null	null	222	null	18.95	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:50:00	830.58	15	null	0.025	null	null	222	null	18.9375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 00:55:00	830.58	15	null	0.025	null	null	222	null	18.925	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:00:00	830.58	15	null	0.025	null	null	222	null	18.9125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:05:00	830.58	15	null	0.025	null	null	222	null	18.9	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:10:00	830.58	15	null	0.025	null	null	222	null	18.8875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:15:00	830.58	15	null	0	null	null	222	null	18.875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:20:00	830.58	15	null	0.025	null	null	222	null	18.8625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:25:00	830.58	15	null	0.025	null	null	222	null	18.85	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:30:00	830.58	15	null	0.025	null	null	222	null	18.8375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:35:00	830.58	15	null	0.025	null	null	222	null	18.825	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:40:00	830.58	15	null	0.025	null	null	222	null	18.8	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:45:00	830.58	15	null	0.025	null	null	222	null	18.7875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:50:00	830.58	15	null	0	null	null	222	null	18.775	null	null	null	null	null	null	CON	0
NW07	2021-08-23 01:55:00	830.58	15	null	0.025	null	null	222	null	18.7625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:00:00	830.58	15	null	0.025	null	null	222	null	18.75	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:05:00	830.58	15	null	0.025	null	null	222	null	18.7375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:10:00	830.58	15	null	0.025	null	null	222	null	18.725	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:15:00	830.58	15	null	0.025	null	null	222	null	18.7125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:20:00	830.58	15	null	0.025	null	null	222	null	18.7	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:25:00	830.58	15	null	0.025	null	null	222	null	18.6875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:30:00	830.58	15	null	0.025	null	null	222	null	18.675	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:35:00	830.58	15	null	0.025	null	null	222	null	18.6625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:40:00	830.58	15	null	0.025	null	null	222	null	18.65	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:45:00	830.58	15	null	0.025	null	null	222	null	18.625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:50:00	830.58	15	null	0.025	null	null	222	null	18.6125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 02:55:00	830.58	15	null	0.025	null	null	222	null	18.6	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:00:00	830.58	15	null	0	null	null	222	null	18.5875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:05:00	830.58	15	null	0.025	null	null	222	null	18.575	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:10:00	830.58	15	null	0.025	null	null	222	null	18.5625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:15:00	830.58	15	null	0.025	null	null	222	null	18.55	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:20:00	830.58	15	null	0.025	null	null	222	null	18.5375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:25:00	830.58	15	null	0.025	null	null	222	null	18.525	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:30:00	830.58	15	null	0.025	null	null	222	null	18.5125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:35:00	830.58	15	null	0.025	null	null	222	null	18.5	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:40:00	830.58	15	null	0.025	null	null	223	null	18.475	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:45:00	830.58	15	null	0	null	null	223	null	18.4625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:50:00	830.58	15	null	0.025	null	null	223	null	18.45	null	null	null	null	null	null	CON	0
NW07	2021-08-23 03:55:00	830.58	15	null	0	null	null	223	null	18.4375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:00:00	830.58	15	null	0.025	null	null	223	null	18.425	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:05:00	830.58	15	null	0	null	null	223	null	18.4125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:10:00	830.58	15	null	0	null	null	223	null	18.4	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:15:00	830.58	15	null	0.025	null	null	223	null	18.3875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:20:00	830.58	15	null	0.025	null	null	223	null	18.375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:25:00	830.58	15	null	0.025	null	null	223	null	18.3625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:30:00	830.58	15	null	0.025	null	null	223	null	18.35	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:35:00	830.58	15	null	0.025	null	null	223	null	18.3375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:40:00	830.58	15	null	0.025	null	null	223	null	18.325	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:45:00	830.58	15	null	0.025	null	null	223	null	18.3125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:50:00	830.58	15	null	0.025	null	null	223	null	18.3	null	null	null	null	null	null	CON	0
NW07	2021-08-23 04:55:00	830.58	15	null	0.025	null	null	223	null	18.2875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:00:00	830.58	15	null	0.025	null	null	223	null	18.275	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:05:00	830.58	15	null	0.025	null	null	223	null	18.2625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:10:00	830.58	15	null	0.025	null	null	223	null	18.25	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:15:00	830.58	15	null	0.025	null	null	223	null	18.2375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:20:00	830.58	15	null	0.025	null	null	223	null	18.225	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:25:00	830.58	15	null	0.025	null	null	223	null	18.2125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:30:00	830.58	15	null	0.025	null	null	223	null	18.2	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:35:00	830.58	15	null	0.025	null	null	223	null	18.1875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:40:00	830.58	15	null	0	null	null	223	null	18.175	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:45:00	830.58	15	null	0.025	null	null	223	null	18.1625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:50:00	830.58	15	null	0.025	null	null	223	null	18.15	null	null	null	null	null	null	CON	0
NW07	2021-08-23 05:55:00	830.58	15	null	0	null	null	223	null	18.1375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:00:00	830.58	15	null	0.025	null	null	223	null	18.125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:05:00	830.58	15	null	0.025	null	null	223	null	18.125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:10:00	830.58	15	null	0.025	null	null	223	null	18.1125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:15:00	830.58	15	null	0.025	null	null	223	null	18.1	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:20:00	830.58	15	null	0.025	null	null	223	null	18.0875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:25:00	830.58	15	null	0.025	null	null	223	null	18.0875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:30:00	830.58	15	null	0.025	null	null	223	null	18.075	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:35:00	830.58	15	null	0.025	null	null	223	null	18.0625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:40:00	830.58	15	null	0.025	null	null	223	null	18.0625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:45:00	830.58	15	null	0.025	null	null	223	null	18.05	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:50:00	830.58	15	null	0.025	null	null	223	null	18.0375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 06:55:00	830.58	15	null	0.025	null	null	223	null	18.0375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:00:00	830.58	15	null	0.025	null	null	223	null	18.025	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:05:00	830.58	15	null	0	null	null	223	null	18.025	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:10:00	830.58	15	null	0	null	null	223	null	18.0125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:15:00	830.58	15	null	0	null	null	223	null	18.0125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:20:00	830.57	15	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:25:00	830.58	15	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:30:00	830.58	14	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:35:00	830.58	14	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:40:00	830.58	14	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:45:00	830.58	14	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:50:00	830.58	14	null	0.025	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 07:55:00	830.58	14	null	0	null	null	223	null	18	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:00:00	830.58	14	null	0	null	null	223	null	18.0125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:05:00	830.58	14	null	0	null	null	223	null	18.0125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:10:00	830.58	14	null	0	null	null	223	null	18.025	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:15:00	830.58	14	null	0	null	null	223	null	18.025	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:20:00	830.58	14	null	0	null	null	223	null	18.0375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:25:00	830.58	14	null	0	null	null	223	null	18.05	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:30:00	830.58	14	null	0	null	null	223	null	18.0625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:35:00	830.58	14	null	0	null	null	223	null	18.075	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:40:00	830.58	14	null	0	null	null	223	null	18.1	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:45:00	830.58	14	null	0	null	null	223	null	18.1125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:50:00	830.58	14	null	0.025	null	null	224	null	18.125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 08:55:00	830.58	14	null	0	null	null	224	null	18.15	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:00:00	830.58	14	null	0	null	null	223	null	18.15	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:05:00	830.58	14	null	0	null	null	223	null	18.1625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:10:00	830.58	14	null	0	null	null	223	null	18.175	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:15:00	830.58	14	null	0.025	null	null	223	null	18.1875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:20:00	830.58	14	null	0	null	null	223	null	18.1875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:25:00	830.58	14	null	0	null	null	223	null	18.2	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:30:00	830.58	14	null	0	null	null	224	null	18.2125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:35:00	830.58	14	null	0	null	null	223	null	18.2125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:40:00	830.58	14	null	0	null	null	224	null	18.2375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:45:00	830.58	14	null	0	null	null	224	null	18.275	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:50:00	830.58	14	null	0	null	null	224	null	18.3	null	null	null	null	null	null	CON	0
NW07	2021-08-23 09:55:00	830.58	14	null	0	null	null	224	null	18.325	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:00:00	830.58	14	null	0	null	null	224	null	18.3375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:05:00	830.58	14	null	0	null	null	224	null	18.35	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:10:00	830.58	14	null	0	null	null	224	null	18.375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:15:00	830.58	14	null	0	null	null	224	null	18.425	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:20:00	830.58	14	null	0	null	null	224	null	18.475	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:25:00	830.58	14	null	0	null	null	224	null	18.5125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:30:00	830.58	14	null	0	null	null	224	null	18.5625	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:35:00	830.58	14	null	0	null	null	224	null	18.6125	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:40:00	830.58	14	null	0.025	null	null	224	null	18.675	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:45:00	830.58	14	null	0	null	null	224	null	18.725	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:50:00	830.58	14	null	0	null	null	224	null	18.7875	null	null	null	null	null	null	CON	0
NW07	2021-08-23 10:55:00	830.58	14	null	0.025	null	null	224	null	18.8375	null	null	null	null	null	null	CON	0
NW07	2021-08-23 11:00:00	830.58	14	null	0	null	null	224	null	18.8875	null	null	null	null	null	null	CON	0
